First Name,Last Name,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,How do you prefer to communicate with your teammates? (Select all that apply),In which of the following areas do you think you can contribute to the group project effort? (Select all that apply),Other contributions to the group project:,"When doing a group project, are you usually eager to engage immediately or do you prefer to observe others first?","Are there any particular students with whom you would like to be in the same group? If so, indicate their names below. Please note that we cannot guarantee you will be in the same group as them, but we will do our best to honor your request.",Is there anything else you would like to share with your instructor and TA regarding the group formation for the project?
Firsta,Lasta,,,,,Evening (5pm-9pm),,,"Virtually and synchronously (Zoom, Google Meet, etc.),Virtually and asynchronously (Email, Discord, Instant Messaging, etc.)","Design of the project,Research,Programming/Coding,Delivering the presentation",,Eager to engage immediately,N/a,I do have a busy college schedule. But if you need me to do a day more than Friday please let me know. I’ll make it work.
Firstb,Lastb,Evening (5pm-9pm),,Evening (5pm-9pm),,,,,"Face-to-face / In-person,Virtually and synchronously (Zoom, Google Meet, etc.)","Design of the project,Research,Programming/Coding,Preparing the presentation,Delivering the presentation",,Eager to engage immediately,,
Firstc,Lastc,,,,,Afternoon (Noon-5pm),Afternoon (Noon-5pm),,"Virtually and synchronously (Zoom, Google Meet, etc.),Virtually and asynchronously (Email, Discord, Instant Messaging, etc.)","Design of the project,Research,Delivering the presentation",,Prefer to observe others first,,
Firstd,Lastd,,,,,Evening (5pm-9pm),,Evening (5pm-9pm),"Virtually and synchronously (Zoom, Google Meet, etc.),Virtually and asynchronously (Email, Discord, Instant Messaging, etc.)","Design of the project,Research,Programming/Coding,Preparing the presentation,Delivering the presentation",,Prefer to observe others first,none,doing school at the same time so might need to be flexible with project schedules
Firste,Laste,Afternoon (Noon-5pm),,Evening (5pm-9pm),,Evening (5pm-9pm),,,"Face-to-face / In-person,Virtually and synchronously (Zoom, Google Meet, etc.)","Design of the project,Research,Programming/Coding",,Eager to engage immediately,n/a,n/a
Firstf,Lastf,,,,,Afternoon (Noon-5pm),Afternoon (Noon-5pm),Afternoon (Noon-5pm),"Virtually and synchronously (Zoom, Google Meet, etc.),Virtually and asynchronously (Email, Discord, Instant Messaging, etc.)","Research,Preparing the presentation,Delivering the presentation",,Eager to engage immediately,,
Firstg,Lastg,,Afternoon (Noon-5pm),,Morning (8am-Noon),Afternoon (Noon-5pm),,,"Virtually and synchronously (Zoom, Google Meet, etc.),Virtually and asynchronously (Email, Discord, Instant Messaging, etc.)","Design of the project,Programming/Coding",,Prefer to observe others first,,
Firsth,Lasth,,,Evening (5pm-9pm),,"Afternoon (Noon-5pm),Evening (5pm-9pm)",,,"Virtually and synchronously (Zoom, Google Meet, etc.),Virtually and asynchronously (Email, Discord, Instant Messaging, etc.)","Design of the project,Research,Programming/Coding,Preparing the presentation,Delivering the presentation",,Prefer to observe others first,,
Firsti,Lasti,,Evening (5pm-9pm),,Evening (5pm-9pm),Evening (5pm-9pm),,,"Virtually and synchronously (Zoom, Google Meet, etc.),Virtually and asynchronously (Email, Discord, Instant Messaging, etc.)","Design of the project,Research,Preparing the presentation,Delivering the presentation",,Eager to engage immediately,N/A,N/A
Firstj,Lastj,,,Evening (5pm-9pm),Evening (5pm-9pm),Evening (5pm-9pm),Evening (5pm-9pm),,"Virtually and synchronously (Zoom, Google Meet, etc.),Virtually and asynchronously (Email, Discord, Instant Messaging, etc.)","Research,Programming/Coding,Preparing the presentation",,Prefer to observe others first,N/A,"I'm not sure if I am able to contribute much to the programming/coding at first, but I am willing to learn given the guidance!"
